time_step,historical_f0_image_path,real_displacement,camera_displacement,scale_factor
0,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643480461526643,0.44353187084198,37.524880523087205
1,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.64344707983959,0.41130730509757996,40.46474952807133
2,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643419343492035,0.43525752425193787,38.238096795906074
3,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643443482142768,0.32837003469467163,50.68502519609727
4,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643552216956717,0.44579458236694336,37.33457712426178
5,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.64344707663952,0.4385683834552765,37.94949135528999
6,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643440498815643,0.34120672941207886,48.77817189447981
7,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643444315152472,0.4790225028991699,34.744598039595175
8,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643412147540378,0.47916707396507263,34.734048000872335
9,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643346566247665,0.47659292817115784,34.921513901000594
10,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643419962388414,0.41977787017822266,39.648159526185154
11,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643346524820057,0.2372034192085266,70.16486769184729
12,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643223150370403,0.6079297661781311,27.37688475923998
13,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643314912827055,0.49358850717544556,33.71900818369583
14,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.64330422195285,0.449067622423172,37.061910925899014
15,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.6433935213161,0.46926993131637573,35.466567130412066
16,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643362945075314,0.5016340017318726,33.17829909379095
17,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643354915501774,0.46076780557632446,36.12091538097894
18,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643383631451,0.44716984033584595,37.21937870172779
19,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.64346020928223,0.3559631109237671,46.756137640471934
20,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.64356909773664,0.4352060556411743,38.24296303326073
21,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.64353708027497,0.29903435707092285,55.65760818689999
22,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.643423751286555,0.23294666409492493,71.44735820086447
23,/home/hongyuan/world-decoder/dataset/sensor_blobs/mini/2021.06.14.18.42.45_veh-12_03445_03902/CAM_F0/01f1943ce76a5b93.jpg,16.64344301608647,0.3789367377758026,43.92142897987774
